Name,Address,City,State,Postal_Code,Website,Phone,Email_Address,urls,category_informational,
"Clear Complexions - Draper - Draper, UT",584 E 12300 S,,,,ClearComplexionSkin.com,(801) 577-9451,,http://www.yelp.com/biz/clear-complexions-draper?osq=spa,Day Spas,
"Cottage Retreat Spa & Salon - West Jordan - West Jordan, UT",1100 W 7800 S,,,,cottageretreatdayspa.com,(801) 352-8636,,http://www.yelp.com/biz/cottage-retreat-spa-and-salon-west-jordan-2?osq=spa,"Day Spas,Massage,Hair Stylists,Slikbutikker",
"Cympliciti - South Jordan - Salt Lake City, UT",11069 S. Cadbury Drive,,,,cympliciti.com,(801) 712-0725,,http://www.yelp.com/biz/cympliciti-salt-lake-city?osq=spa,Spas,
"Deep Tissue & Structural Healing - Salt Lake City - Salt Lake City, UT",435 W 400 S,,,,deeptissuehealing.com,(801) 574-9175,,http://www.yelp.com/biz/deep-tissue-and-structural-healing-salt-lake-city?osq=spa,"Day Spas,Massage,Medical Spas,Vegetarian Restaurants,Vegan Restaurants,Live & Raw Food",
"Elase Medical Spas - Salt Lake City - Salt Lake City, UT","2236 South 1300 E,Ste D-4",,,,elase.com/utah,(801) 495-2737,,http://www.yelp.com/biz/elase-medical-spas-salt-lake-city-3?osq=spa,"Medical Spas,Spas,Hair Removal",
"Enlighten Laser Cosmetics - Woods Cross - Bountiful, UT","1560 Renaissance Towne Dr,Ste 102",,,,enlightenlaser.com,(801) 294-9999,,http://www.yelp.com/biz/enlighten-laser-cosmetics-bountiful?osq=spa,"Cosmetics & Beauty Supply,Spas",
"Expressions Tanning - South Jordan - South Jordan, UT",10433 S Redwood Rd,,,,expressionstanning.com,(801) 253-8200,,http://www.yelp.com/biz/expressions-tanning-south-jordan-2?osq=spa,"Tanning,Spas",
"Falling Waters Day Spa - Draper - Draper, UT",1101 Draper Pkwy,,,,fallingwatersdayspa.com,(801) 501-9000,,http://www.yelp.com/biz/falling-waters-day-spa-draper?osq=spa,"Massage,Spas,Nail Salon",
"Fitlife Wellness Spa - Layton, UT",116 N Adamswood Dr,,,,fitlifespa.com,(801) 444-3430,,http://www.yelp.com/biz/fitlife-wellness-spa-layton-2?osq=spa,Spas,
"Fitlife Wellness Spa - Layton, UT",116 N Adamswood Rd,,,,fitlifewellnessspa.com,(801) 444-3430,,http://www.yelp.com/biz/fitlife-wellness-spa-layton?osq=spa,Day Spas,
"Vaunt Style Studio & Body Boutique - Salt Lake City - Salt Lake City, UT","460 N Redwood Rd,Suite B",,,,flauntvaunt.com,(801) 645-7727,,http://www.yelp.com/biz/vaunt-style-studio-and-body-boutique-salt-lake-city?osq=spa,"Hair Salons,Day Spas",
"Garden Day Spa & Salon - Bountiful - Bountiful, UT",299 N 200 W,,,,gardendayspaandsalon.com,(801) 294-4247,,http://www.yelp.com/biz/garden-day-spa-and-salon-bountiful?osq=spa,"Day Spas,Hair Salons",
"Heavenly Exhale Massage - The Avenues - Salt Lake City, UT",,,,,giftedreikitherapist.com,(516) 532-2540,,http://www.yelp.com/biz/heavenly-exhale-massage-salt-lake-city?osq=spa,"Reiki,Day Spas,Massage Therapy",
"Goldminer’s Daughter Spa - Alta, UT",10160 E Hwy 210,,,,goldminersdaughterlodge.com,(801) 851-0811,,http://www.yelp.com/biz/goldminers-daughter-spa-alta?osq=spa,Day Spas,
"Got Beauty - Salt Lake City - Salt Lake City, UT",900 E 2100 S,,,,gotbeauty.com,(801) 474-2090,,http://www.yelp.com/biz/got-beauty-salt-lake-city?osq=spa,"Cosmetics & Beauty Supply,Hair Salon,Spas,Desserts,Bakeries",
"The Grand Spa - Salt Lake City - Salt Lake City, UT","The Grand America Hotel,555 S Main St",,,,grandamerica.com,(801) 258-6568,,http://www.yelp.com/biz/the-grand-spa-salt-lake-city?osq=spa,Spas,
"Gratitude Day Spa - South Jordan - South Jordan, UT",4908 W Calton Ln,,,,GRATITUDEDAYSPA.COM,(801) 750-1366,,http://www.yelp.com/biz/gratitude-day-spa-south-jordan?osq=spa,Spas,
"Hair & Body Works Salon - South Jordan - South Jordan, UT",1644 W Towne Center Dr,,,,hairandbodyworkssalon.com,(801) 253-1766,,http://www.yelp.com/biz/hair-and-body-works-salon-south-jordan-2?osq=spa,"Spas,Tanning,Nail Salon",
"Hand & Stone Massage and Facial Spa - Salt Lake City - Bountiful, UT",530 West 500 S,,,,handandstone.com,(801) 833-0663,,http://www.yelp.com/biz/hand-and-stone-massage-and-facial-spa-bountiful?osq=spa,"Massage,Spas,Hair Removal",
"Harmony Massage - Salt Lake City - Salt Lake City, UT","1104 E Ashton Ave,Ste 118",,,,harmonymassage-utah.com,(801) 834-4068,,http://www.yelp.com/biz/harmony-massage-salt-lake-city?osq=spa,"Massage,Day Spas,Sushi,Japanese Restaurants,Asian Fusion Restaurants ",
"Heavenly Hands Massage and Spa - Salt Lake City - Salt Lake City, UT",2725 E Parleys Way,,,,heavenlyhandsmassageandspa.com,(801) 708-7888,,http://www.yelp.com/biz/heavenly-hands-massage-and-spa-salt-lake-city?osq=spa,"Day Spas,Massage",
"Jade Touch Oriental Massage - Millcreek - Salt Lake City, UT",4408 S 900th E,,,,JadeTouchMassage.com,(801) 288-1118,,http://www.yelp.com/biz/jade-touch-oriental-massage-salt-lake-city?osq=spa,"Day Spas,Massage,Massage Therapy",
"Landis Lifestyle Salon - Capitol Hill - Salt Lake City, UT","569 N 300 W,Ste A",,,,landissalon.com,(801) 364-3354,,http://www.yelp.com/biz/landis-lifestyle-salon-salt-lake-city-3?osq=spa,"Hair Salons,Day Spas,Hair Removal,Hair Salons,Day Spas,Hair Removal,Cosmetics & Beauty Supply",
"Landis Lifestyle Salon - Salt Lake City - Salt Lake City, UT",1298 S 900 E,,,,landissalon.com/locations/lib…,(801) 485-5506,,http://www.yelp.com/biz/landis-lifestyle-salon-salt-lake-city?osq=spa,"Hair Salon,Spas,Hair Removal,Hair Salons,Day Spas,Hair Removal,Cosmetics & Beauty Supply",
"Le Chic a Belle Spa - West Jordan - West Jordan, UT",7650 S Redood Rd,,,,lechicabellespa.com,(801) 938-9158,,http://www.yelp.com/biz/le-chic-a-belle-spa-west-jordan?osq=spa,"Spas,Skin Care",
"Life Spa and Salon - South Jordan - South Jordan, UT",10996 S River Front Pkwy,,,,lifetimefitness.com/en,(801) 302-0909,,http://www.yelp.com/biz/life-spa-and-salon-south-jordan?osq=spa,"Hair Salons,Day Spas,Massage",
"Lucky You Massage - Cottonwood Heights - Cottonwood Heights, UT",2122 Fort Union Blvd,,,,luckyyoumassageco.com,(385) 900-4830,,http://www.yelp.com/biz/lucky-you-massage-cottonwood-heights-2?osq=spa,"Spas,Massage,Reflexology",
"Main Street Studio - Salt Lake City - Salt Lake City, UT",1802 S Main St,,,,main-st-studio.com,(801) 484-4247,,http://www.yelp.com/biz/main-street-studio-salt-lake-city?osq=spa,"Day Spas,Nail Salons,Massage",
"Marila’s Medical Spa - Tooele, UT","453 N Main St,Ste B",,,,marilasmedicalspa.com,(435) 843-5848,,http://www.yelp.com/biz/marilas-medical-spa-tooele?osq=spa,"Day Spas,Medical Spas",
"Massage Envy - Draper - Draper - Draper, UT","219 E 12300 S,Ste I6",,,,massageenvy.com,(801) 495-4280,,http://www.yelp.com/biz/massage-envy-draper-draper?osq=spa,"Skin Care,Spas,Massage Therapy",
"Massage Envy - Sandy - Sandy - Sandy, UT",1838 E 9400 S,,,,massageenvy.com,(801) 545-9111,,http://www.yelp.com/biz/massage-envy-sandy-sandy-3?osq=spa,"Massage,Skin Care,Day Spas",
"Massage Envy - Sugar House - Salt Lake City - Salt Lake City, UT",2236 S 1300th E,,,,massageenvy.com,(801) 484-0223,,http://www.yelp.com/biz/massage-envy-sugar-house-salt-lake-city?osq=spa,"Massage,Skin Care,Spas",
"Massage Envy - Union Heights - Sandy - Midvale, UT",7682 South Union Park Avenue,,,,massageenvy.com/clinics/UT/Un…,(801) 568-1161,,http://www.yelp.com/biz/massage-envy-union-heights-midvale-2?osq=spa,"Massage,Skin Care,Day Spas",
"Massage Green Spa - Sandy - Sandy, UT",11400 S 90 W,,,,massagegreenspa.com,(801) 810-1999,,http://www.yelp.com/biz/massage-green-spa-sandy?osq=spa,"Massage Therapy,Skin Care,Day Spas",
"Massage Your Life Medical & Therapeutic Massage - Draper - Draper, UT","12450 S 114,Ste E",,,,massageyourlife.com,(801) 576-1220,,http://www.yelp.com/biz/massage-your-life-medical-and-therapeutic-massage-draper?osq=spa,"Day Spas,Massage",
"Matrix Spa & Massage - Salt Lake City - Salt Lake City, UT",533 S 700 E,,,,matrixmassagespa.com,(801) 799-4999,,http://www.yelp.com/biz/matrix-spa-and-massage-salt-lake-city-3?osq=spa,"Massage,Day Spas",
"Body Rock Sculpting Med Spa - Salt Lake City - Salt Lake City, UT","1514 S 1100 E,Ste A",,,,medicalspasaltlakecity.com,(385) 528-3160,,http://www.yelp.com/biz/body-rock-sculpting-med-spa-salt-lake-city-3?osq=spa,"Medical Spas,Waxing,Day Spas",
"Merle Norman - Draper - Draper, UT","213 E 12300 S,Ste H2",,,,merlenormanutah.com,(801) 923-1065,,http://www.yelp.com/biz/merle-norman-draper-9?osq=spa,"Cosmetics & Beauty Supply,Spas,Blow Dry/Out Services",
"Metta Mountain Spa - Centerville, UT",207 N 400 E,,,,mettamountainspa.com,(801) 859-7972,,http://www.yelp.com/biz/metta-mountain-spa-centerville?osq=spa,"Day Spas,Meditation Centers,Massage Therapy",
"Mountainside Spa - Salt Lake City, UT","6556 S Big Cottonwood Canyon Rd,Ste 700",,,,mountainsidespa.com,(801) 742-4814,,http://www.yelp.com/biz/mountainside-spa-salt-lake-city?osq=spa,"Spas,Massage",
"Clear Complexions - South Jordan - South Jordan, UT","10577 S Redwood Rd,Ste 114",,,,myclearcomplexions.com,(661) 916-5323,,http://www.yelp.com/biz/clear-complexions-south-jordan?osq=spa,"Spas,Skin Care,Eyelash Service",
"inSPArations Day Spa - Layton, UT","70 S Fairfield Rd,Ste 1",,,,myfloatspa.com,(801) 444-5192,,http://www.yelp.com/biz/insparations-day-spa-layton?osq=spa,"Day Spas,Massage,Nail Salons",
"Mystic Massage & Spa - Taylorsville - Salt Lake City, UT",5204 S Redwood Rd Ste D,,,,mymysticspa.com,(385) 439-4056,,http://www.yelp.com/biz/mystic-spa-and-massage-salt-lake-city-2?osq=spa,"Massage,Day Spas",
"Skindulgence - Salt Lake City - Salt Lake City, UT",1592 S 1100 E,,,,myskindulgence.com,(801) 577-5127,,http://www.yelp.com/biz/skindulgence-salt-lake-city-2?osq=spa,"Skin Care,Day Spas,Medical Spas",
"Vee Kelsey-McKee - Millcreek - Salt Lake City, UT","Skinful Pleasures,3194 S 1100 E,Ste 201",,,,myskintherapist.com,(801) 641-7628,,http://www.yelp.com/biz/vee-kelsey-mckee-salt-lake-city-2?osq=spa,"Spas,Skin Care",
"Mystic Nails & Day Spa - South Jordan - South Jordan, UT",1086 WS Jordan Pkwy,,,,mysticnailsanddayspa.com,(801) 302-7277,,http://www.yelp.com/biz/mystic-nails-and-day-spa-south-jordan-2?osq=spa,"Nail Salon,Spas",
"Waldorf Astoria Spa - Park City, UT","Waldorf Astoria Park City,2100 W Frostwood Blvd",,,,parkcitywaldorfastoria.com/go…,(435) 647-5555,,http://www.yelp.com/biz/waldorf-astoria-spa-park-city?osq=spa,"Day Spas,Skin Care,Massage",
"Piel Bella Day Spa - City of South Salt Lake - Salt Lake City, UT",2721 S State St,,,,pielbella.org,(801) 883-9823,,http://www.yelp.com/biz/piel-bella-day-spa-salt-lake-city?osq=spa,"Spas,Hair Salon,Eyelash Service",
"Reflections Salon - Salt Lake City - Salt Lake City, UT",1553 S 1100 E,,,,reflectionsalonslc.com,(801) 746-0663,,http://www.yelp.com/biz/reflections-salon-salt-lake-city?osq=spa,"Hair Salons,Day Spas,Desserts,Bäckerei,Coffee Shop",
"Renew Spa & Wellness - Bountiful - Bountiful, UT",845 N 400 E Ste A,,,,renewspa.biz,(801) 294-5855,,http://www.yelp.com/biz/renew-spa-and-wellness-bountiful?osq=spa,Spas,
"Reverie Day Spa and Wellness Center - Draper - Draper, UT","177 W 12300 S,Suite 109 Inside Image Studios",,,,reveriedayspa.com,(801) 472-9733,,http://www.yelp.com/biz/reverie-day-spa-and-wellness-center-draper?osq=spa,"Day Spas,Skin Care",
"Richelle’s Salon and Day Spa - Holladay - Holladay, UT",4699 Highland Dr,,,,richellesspa.com,(801) 272-2262,,http://www.yelp.com/biz/richelles-salon-and-day-spa-holladay?osq=spa,"Hair Salon,Spas,Skin Care",
"Salis Skincare - Draper - Draper, UT","177 W 12300 S,Ste 106",,,,salisskincare.com,(801) 367-5141,,http://www.yelp.com/biz/salis-skincare-draper?osq=spa,"Skin Care,Spas,Waxing,Hair Salons",
"Patti @ Salon & Spa On 7th - Sandy - Sandy, UT",8031 S 700 E,,,,salonandspaon7th.blogspot.in,(801) 255-5798,,http://www.yelp.com/biz/patti-salon-and-spa-on-7th-sandy?osq=spa,"Day Spas,Hair Stylists,Nail Salons",
"Sanctuary Day Spa & Salon - Murray - Salt Lake City, UT","6191 S State St,Ste 202",,,,sanctuaryds.com,(801) 747-3801,,http://www.yelp.com/biz/sanctuary-day-spa-and-salon-salt-lake-city?osq=spa,Spas,
"Sanctuary Day Spa and Salon - Salt Lake City - Salt Lake City, UT",42 S Rio Grande St,,,,sanctuarygateway.com,(801) 456-2375,,http://www.yelp.com/biz/sanctuary-day-spa-and-salon-salt-lake-city-2?osq=spa,Day Spas,
"Sego Lily Day Spa - Sandy - Midvale, UT",7475 Union Park Ave,,,,segolilydayspa.com,(801) 566-2502,,http://www.yelp.com/biz/sego-lily-day-spa-midvale?osq=spa,Spas,
"Sego Lily Spa - Bountiful - Bountiful, UT",401 W 500 S,,,,segolilyspa.com,(801) 992-3186,,http://www.yelp.com/biz/sego-lily-spa-bountiful?osq=spa,"Day Spas,Massage Therapy",
"Sego Lily Spa - Layton, UT",1664 Woodland Park Dr,,,,segolilyspa.com,(801) 525-0940,,http://www.yelp.com/biz/sego-lily-spa-layton?osq=spa,"Massage,Day Spas",
"Blue Moon Massage - Salt Lake City - Salt Lake City, UT",1144 Main St,,,,,(801) 935-4170,,http://www.yelp.com/biz/blue-moon-massage-salt-lake-city?osq=spa,"Day Spas,Massage",sites.google.com/site/bluemoo…
"Skin Focus Studio - Capitol Hill - Salt Lake City, UT",312 W 700 N,,,,skinfocusstudio.com,(415) 238-6002,,http://www.yelp.com/biz/skin-focus-studio-salt-lake-city-5?osq=spa,"Day Spas,Skin Care,Waxing,Quiroprácticos",
"Skinworks School of Advanced Skincare - City of South Salt Lake - Salt Lake City, UT",2121 S 230 E,,,,skinworks.edu,(385) 715-5228,,http://www.yelp.com/biz/skinworks-school-of-advanced-skincare-salt-lake-city?osq=spa,"Day Spas,Cosmetology Schools,Skin Care",
"The Cliff Spa - Snowbird, UT","Hwy 210 Entry 4,Level 9",,,,snowbird.com/cliffspa,(801) 933-2225,,http://www.yelp.com/biz/the-cliff-spa-snowbird?osq=spa,Spas,
"Sorelle Spa - Salt Lake City - Salt Lake City, UT",1592 S 1100 E,,,,sorellespa.com,(801) 466-6777,,http://www.yelp.com/biz/sorelle-spa-salt-lake-city?osq=spa,Day Spas,
"Spa Atlantis - Layton, UT","1706 N Heritage Park Blvd,Ste 1",,,,spaatlantisutah.com,(385) 333-1484,,http://www.yelp.com/biz/spa-atlantis-layton?osq=spa,Day Spas,
"spaDAY - Salt Lake City - Salt Lake City, UT","10 W 100th S,2nd Fl",,,,spadayretreat.com,(801) 582-3467,,http://www.yelp.com/biz/spaday-salt-lake-city-3?osq=spa,"Spas,Massage,Skin Care",
"Sugar & Lemon Day Spa - Cottonwood Heights - Salt Lake City, UT",7420 Butler Hills Drive,,,,sugarandlemonspa.com,(801) 712-8178,,http://www.yelp.com/biz/sugar-and-lemon-day-spa-salt-lake-city?osq=spa,"Sugaring,Spas,Skin Care",
"Tangles - Cottonwood Heights - Salt Lake City, UT",7076 Highland Dr,,,,tangleshairandspa.com,(801) 424-2724,,http://www.yelp.com/biz/tangles-salt-lake-city?osq=spa,"Day Spas,Nail Salons",
"The Dead Sea Skin Care and Day Spa - Salt Lake City - Salt Lake City, UT","675 E 2100 S,Ste L",,,,thedeadsea-spa.com,(801) 463-6000,,http://www.yelp.com/biz/the-dead-sea-skin-care-and-day-spa-salt-lake-city?osq=spa,Day Spas,
"The Kura Door - The Avenues - Salt Lake City, UT",1136 3rd Ave,,,,thekuradoor.com,(801) 364-2400,,http://www.yelp.com/biz/the-kura-door-salt-lake-city?osq=spa,"Spas,Nail Salon,Massage",
"The Spa Club - West Jordan - West Jordan, UT","7138 Plaza Center Dr,Ste 120",,,,thespaclub.com,(801) 255-3655,,http://www.yelp.com/biz/the-spa-club-west-jordan-2?osq=spa,"Hair Salons,Nail Salons,Day Spas",
"The Spa Club - Cottonwood Heights - Salt Lake City, UT",6981 Park Center Dr,,,,thespaclub.com,(801) 255-3655,,http://www.yelp.com/biz/the-spa-club-salt-lake-city?osq=spa,"Hair Salon,Spas,Waxing",
"Urban Retreat Spa & Salon - Salt Lake City - Salt Lake City, UT","1709 E 1300 S,Ste 101",,,,urbanspasalon.com,(801) 386-7009,,http://www.yelp.com/biz/urban-retreat-spa-and-salon-salt-lake-city?osq=spa,"Hair Salon,Spas",
"Vincent Surgical Arts - Cottonwood Heights - Cottonwood Heights, UT","6710 S Blackstone Rd,Ste 201",,,,vincentsurgicalarts.com,(801) 942-1111,,http://www.yelp.com/biz/vincent-surgical-arts-cottonwood-heights-2?osq=spa,"Day Spas,Medical Spas,Laser Hair Removal,Cosmetic Surgeons",
"Visions Salon & Day Spa - Draper - Draper, UT",1442 East Draper Pkwy,,,,visionssalonspa.com,(801) 501-9003,,http://www.yelp.com/biz/visions-salon-and-day-spa-draper?osq=spa,"Day Spas,Hair Salons,Nail Salons",
"Visions Salon & Day Spa - Sandy - Sandy, UT","834 E 9400 S,Ste 60",,,,visionssalonspa.com,(801) 255-9555,,http://www.yelp.com/biz/visions-salon-and-day-spa-sandy-2?osq=spa,"Hair Salon,Nail Salon,Spas",
"Wasatch Spa & Pool - Millcreek - Salt Lake City, UT",3955 S State St,,,,wasatchspas.com,(801) 264-8827,,http://www.yelp.com/biz/wasatch-spa-and-pool-salt-lake-city?osq=spa,Day Spas,
"Wellness Within Me - West Jordan - West Jordan, UT","8817 S Redwood Rd,Ste D",,,,wellnesswithinme.com,(801) 915-0639,,http://www.yelp.com/biz/wellness-within-me-west-jordan?osq=spa,"Spas,Weight Loss Centers",
"Serenity Spa - Park City, UT","Westgate Park City Resort & Spa,3000 Canyons Resort Dr",,,,westgatedestinations.com/utah…,(435) 655-2266,,http://www.yelp.com/biz/serenity-spa-park-city-2?osq=spa,"Day Spas,Massage,Skin Care",
"Salon R Z - Salt Lake City - Salt Lake City, UT",1307 S 900 E,,,,worldpages.com,(801) 486-4700,,http://www.yelp.com/biz/salon-r-z-salt-lake-city?osq=spa,Spas,
"Xpresspa - Salt Lake City - Salt Lake City, UT","Salt Lake City International Airport (slc),Terminal 1 Concourse B Near Gate B1",,,,xpresspashop.com,(801) 322-6386,,http://www.yelp.com/biz/xpresspa-salt-lake-city?osq=spa,Day Spas,
"Xscape Day Spa - Holladay - Salt Lake City, UT",6151 Highland Dr,,,,xscapedayspa.com,(801) 272-7546,,http://www.yelp.com/biz/xscape-day-spa-salt-lake-city?osq=spa,Day Spas,
"Zen Massage - Murray - Salt Lake City, UT",5520 S Van Winkle Expy,,,,zenmassage.net,(801) 467-3529,,http://www.yelp.com/biz/zen-massage-salt-lake-city-5?osq=spa,"Massage,Day Spas,Web Design,Marketing",
"Polished Nail Lounge - Salt Lake City - Salt Lake City, UT","850 S 400 W,Ste 118",,,,,(801) 449-0801,,http://www.yelp.com/biz/polished-nail-lounge-salt-lake-city?osq=spa,"Spas,Nail Salon",
"Murphy Kim At Peace Retreat - Salt Lake City - Salt Lake City, UT",150 S 600 E,,,,,(801) 533-5440,,http://www.yelp.com/biz/murphy-kim-at-peace-retreat-salt-lake-city?osq=spa,Day Spas,
"Revive Day Spa - Salt Lake City - Salt Lake City, UT","1010 E 2100th S,Ste B",,,,,(801) 487-4696,,http://www.yelp.com/biz/revive-day-spa-salt-lake-city?osq=spa,"Spas,Skin Care,Massage",
"Sunflower Spa - Salt Lake City - Salt Lake City, UT",1800 S State St,,,,,(801) 806-0436,,http://www.yelp.com/biz/sunflower-spa-salt-lake-city?osq=spa,Spas,
"So Hi Spa - Salt Lake City - Salt Lake City, UT","The Peery Hotel,110 W Broadway, Ste B",,,,,(801) 419-4549,,http://www.yelp.com/biz/so-hi-spa-salt-lake-city?osq=spa,Spas,
"Serenity Day Spa - West Jordan - West Jordan, UT",3245 W 7800 S,,,,,(801) 255-5222,,http://www.yelp.com/biz/serenity-day-spa-west-jordan?osq=spa,Spas,
"The Massage Table LLC - Draper - Draper, UT","La Mode Studios,584 E 12300 S, Ste 1",,,,,(503) 954-9924,,http://www.yelp.com/biz/the-massage-table-llc-draper?osq=spa,"Massage,Day Spas",
"Sherri’s Fingers and Toes - Sandy - Midvale, UT","7200 South State Street,Suite 208",,,,,(801) 450-3354,,http://www.yelp.com/biz/sherris-fingers-and-toes-midvale-2?osq=spa,"Nail Salons,Day Spas,Hair Salons",
"Glow Day Spa & Salon - Salt Lake City, UT",6556 S Big Cottonwod Cyn Rd,,,,,(801) 943-7776,,http://www.yelp.com/biz/glow-day-spa-and-salon-salt-lake-city?osq=spa,Day Spas,
"Spa & Relax - Herriman - Herriman, UT",5243 Brundisi Way,,,,,(801) 686-8182,,http://www.yelp.com/biz/spa-and-relax-herriman?osq=spa,Day Spas,
"Get Physical Day Spa - Kaysville, UT",335 N 300 W,,,,,(801) 444-7113,,http://www.yelp.com/biz/get-physical-day-spa-kaysville?osq=spa,Day Spas,
"Dolly’s Day Spa and Boutique - Draper - Draper, UT",12345 S 900 E,,,,,(801) 495-1115,,http://www.yelp.com/biz/dollys-day-spa-and-boutique-draper?osq=spa,Spas,
"My Sweet Escape Day Spa - Herriman - Salt Lake City, UT",13054 S Padstow Ln,,,,,(801) 891-1036,,http://www.yelp.com/biz/my-sweet-escape-day-spa-salt-lake-city?osq=spa,Day Spas,
"Alpine Pain Clinic - Cottonwood Heights - Salt Lake City, UT",6360 S 3000 E,,,,,(801) 942-6000,,http://www.yelp.com/biz/alpine-pain-clinic-salt-lake-city?osq=spa,"Spas,Orthopedists",
"Jada Nails - Draper - Draper, UT",Veterans Memorial Hwy,,,,,,,http://www.yelp.com/biz/jada-nails-draper?osq=spa,"Nail Salons,Day Spas,Massage",
"Strange Performance - West Jordan - West Jordan, UT",9325 Redwood Rd,,,,,(801) 561-1420,,http://www.yelp.com/biz/strange-performance-west-jordan?osq=spa,Spas,
"Papillon the Spa - Park City, UT",3000 Canyons Resort Dr,,,,,(435) 655-2266,,http://www.yelp.com/biz/papillon-the-spa-park-city?osq=spa,"Massage,Day Spas",
"Tresses Studio - Sandy - Sandy, UT",7994 S 1300 E,,,,,(801) 352-2090,,http://www.yelp.com/biz/tresses-studio-sandy?osq=spa,Spas,
"Essensuals Day Spa - Sandy - Sandy, UT",7994 S 1300 E,,,,,(801) 352-2090,,http://www.yelp.com/biz/essensuals-day-spa-sandy?osq=spa,Spas,
"Heaven Nails and Spa - Murray - Murray, UT",256 E Winchester St,,,,,(801) 261-9216,,http://www.yelp.com/biz/heaven-nails-and-spa-murray?osq=spa,"Hair Salons,Nail Salons,Day Spas",
"Wild Orchid Nails - Riverton - Riverton, UT","3898 Innovation Dr,Ste A",,,,,(801) 253-8185,,http://www.yelp.com/biz/wild-orchid-nails-riverton?osq=spa,"Nail Salon,Spas",
"Aizad Med Spa & Laser - West Jordan - West Jordan, UT",1561 W 7000 S,,,,,(801) 676-7399,,http://www.yelp.com/biz/aizad-med-spa-and-laser-west-jordan?osq=spa,"Spas,Dermatologists",
"V J Nails And Spa LLC - West Jordan - West Jordan, UT","5688 W 7800 S,#102",,,,,(801) 280-6488,,http://www.yelp.com/biz/v-j-nails-and-spa-west-jordan?osq=spa,"Nail Salons,Hair Salons,Day Spas",
"Transform - Olympus Cove - Salt Lake City, UT",3955 Wasatch Blvd,,,,,(801) 272-8188,,http://www.yelp.com/biz/transform-salt-lake-city?osq=spa,"Tanning,Day Spas",
"Beaches Tanning Salon - Olympus Cove - Salt Lake City, UT",3949 Wasatch Blvd,,,,,(801) 272-8188,,http://www.yelp.com/biz/beaches-tanning-salon-salt-lake-city?osq=spa,"Spas,Tanning",
